taxonID	Phylum	APE	CL	CU	N	Phylum1	group
OTU110	Acidobacteria	-0.07731763	-0.097986766	-0.056648494	5	Acidobacteria	B
OTU52	Acidobacteria	-0.028986098	-0.059345455	0.001373259	10		B
OTU106	Acidobacteria	-0.019597409	-0.027071221	-0.012123596	15		B
OTU870	Acidobacteria	-0.007597537	-0.026740635	0.011545561	20		B
OTU130	Acidobacteria	-0.007179338	-0.022031806	0.00767313	25		B
OTU967	Acidobacteria	-0.002078866	-0.017336028	0.013178296	30		B
OTU119	Acidobacteria	-0.000806349	-0.018016939	0.016404242	35		B
OTU1416	Acidobacteria	0.000707395	-0.011086189	0.012500979	40		B
OTU1683	Acidobacteria	0.001521846	-0.002849858	0.005893549	45		B
OTU530	Acidobacteria	0.006587735	-0.007262928	0.020438398	50		B
OTU1086	Acidobacteria	0.008035515	-0.015401076	0.031472106	55		B
OTU824	Acidobacteria	0.00874544	-0.009344153	0.026835033	60		B
OTU291	Acidobacteria	0.012827209	-0.004071536	0.029725954	65		B
OTU851	Acidobacteria	0.013262263	-0.001557255	0.02808178	70		B
OTU155	Acidobacteria	0.014064412	-0.002526582	0.030655406	75		B
OTU371	Acidobacteria	0.014815011	0.000830488	0.028799534	80		A
OTU3844	Acidobacteria	0.015899291	-0.008321472	0.040120055	85		B
OTU792	Acidobacteria	0.016106807	-0.001735135	0.033948749	90		B
OTU99	Acidobacteria	0.019082305	7.30E-06	0.03815731	95		A
OTU368	Acidobacteria	0.019663465	-0.0022855	0.041612429	100		B
OTU140	Acidobacteria	0.021645471	-0.001117292	0.044408235	105		B
OTU649	Acidobacteria	0.024098531	0.005665043	0.042532019	110		A
OTU4624	Acidobacteria	0.024724795	0.003784371	0.04566522	115		A
OTU376	Acidobacteria	0.025113146	0.007992939	0.042233354	120		A
OTU1425	Acidobacteria	0.025268255	0.001547922	0.048988587	125		A
OTU329	Acidobacteria	0.027480991	0.004851294	0.050110688	130		A
OTU3890	Acidobacteria	0.02752152	0.005233394	0.049809646	135		A
OTU873	Acidobacteria	0.027569578	0.012342662	0.042796494	140		A
OTU4878	Acidobacteria	0.02759586	-0.002727821	0.057919541	145		B
