taxonID	Phylum	APE	CL	CU	N	Phylum1	group
OTU52	Acidobacteria	-0.058398173	-0.076185732	-0.040610613	5	Acidobacteria	B
OTU106	Acidobacteria	0.000809966	-0.014775651	0.016395584	10		B
OTU3844	Acidobacteria	0.008306215	-0.004173652	0.020786083	15		B
OTU792	Acidobacteria	0.008399664	-0.012806683	0.029606011	20		B
OTU155	Acidobacteria	0.017880167	-0.002265762	0.038026096	25		B
OTU140	Acidobacteria	0.017941612	-0.002980506	0.038863729	30		B
OTU296	Acidobacteria	0.018182256	-0.007044212	0.043408724	35		B
OTU4624	Acidobacteria	0.018387258	-0.006824662	0.043599179	40		B
OTU1896	Acidobacteria	0.018719596	-0.006968739	0.044407932	45		B
OTU89	Acidobacteria	0.021568962	-0.002427645	0.045565568	50		B
OTU671	Acidobacteria	0.021947126	-0.002112001	0.046006253	55		B
OTU99	Acidobacteria	0.024118614	-0.001129866	0.049367094	60		B
OTU1163	Acidobacteria	0.025597848	0.009882038	0.041313658	65		A
OTU96	Acidobacteria	0.02622603	0.004313442	0.048138618	70		A
OTU1158	Acidobacteria	0.026397046	0.010165006	0.042629085	75		A
OTU372	Acidobacteria	0.029619473	0.005036656	0.054202291	80		A
OTU376	Acidobacteria	0.031493733	0.00631994	0.056667525	85		A
OTU652	Acidobacteria	0.031582738	0.012823273	0.050342202	90		A
OTU291	Acidobacteria	0.035440455	0.001413027	0.069467884	95		A
OTU851	Acidobacteria	0.035908012	0.008515369	0.063300654	100		A
OTU656	Acidobacteria	0.039045968	0.019927644	0.058164293	105		A
OTU124	Acidobacteria	0.042482376	0.019102135	0.065862616	110		A
OTU136	Acidobacteria	0.047034781	0.01983863	0.074230932	115		A
OTU209	Acidobacteria	0.050183755	0.013112861	0.087254649	120		A
OTU532	Acidobacteria	0.050461172	0.022768875	0.07815347	125		A
OTU329	Acidobacteria	0.05063469	0.016916869	0.084352511	130		A
OTU195	Acidobacteria	0.050912287	0.02909515	0.072729423	135		A
OTU4878	Acidobacteria	0.051531904	0.028604378	0.074459429	140		A
OTU2684	Acidobacteria	0.057159238	0.027988608	0.086329867	145		A
OTU1570	Acidobacteria	0.059265433	0.034276097	0.08425477	150		A
OTU4219	Acidobacteria	0.062223972	0.029982055	0.09446589	155		A
OTU167	Acidobacteria	0.062940725	0.028912148	0.096969302	160		A
OTU1156	Acidobacteria	0.063160411	0.037866821	0.088454	165		A
OTU378	Acidobacteria	0.064887941	0.037445219	0.092330664	170		A
OTU3636	Acidobacteria	0.066811377	0.048528029	0.085094725	175		A
OTU466	Acidobacteria	0.071476902	0.034520088	0.108433716	180		A
OTU321	Acidobacteria	0.074977524	0.043212912	0.106742135	185		A
OTU289	Acidobacteria	0.076097149	0.051268449	0.100925849	190		A
OTU563	Acidobacteria	0.07726202	0.045382194	0.109141846	195		A
OTU507	Acidobacteria	0.080865206	0.048968999	0.112761414	200		A
OTU118	Acidobacteria	0.082695473	0.057328189	0.108062757	205		A
OTU143	Acidobacteria	0.085444029	0.055221724	0.115666333	210		A
OTU399	Acidobacteria	0.091216402	0.060363363	0.122069442	215		A
OTU327	Acidobacteria	0.102302714	0.068933418	0.13567201	220		A
OTU54	Acidobacteria	0.112502085	0.078102931	0.146901238	225		A
OTU231	Acidobacteria	0.125219166	0.083883866	0.166554465	230		A
OTU83	Acidobacteria	0.150260575	0.111579654	0.188941496	235		A
OTU277	Actinobacteria	-0.08237783	-0.12819769	-0.036557969	275	Actinobacteria	B
OTU13	Actinobacteria	-0.050056166	-0.057134886	-0.042977445	280		B
OTU747	Actinobacteria	-0.015492069	-0.034672325	0.003688187	285		B
OTU254	Actinobacteria	-0.01385727	-0.032886706	0.005172166	290		B
OTU853	Actinobacteria	0.00047468	-0.005193728	0.006143088	295		B
OTU311	Actinobacteria	0.002042405	-0.016293949	0.02037876	300		B
OTU1480	Actinobacteria	0.005911512	-0.022208088	0.034031112	305		B
OTU152	Actinobacteria	0.008840514	-0.005705811	0.023386838	310		B
OTU141	Actinobacteria	0.008860607	-0.00891699	0.026638204	315		B
OTU548	Actinobacteria	0.009586203	-0.007037036	0.026209442	320		B
OTU665	Actinobacteria	0.011378033	-0.005555288	0.028311354	325		B
OTU45	Actinobacteria	0.012439311	-0.009983786	0.034862408	330		B
OTU1181	Actinobacteria	0.012560544	0.000519732	0.024601356	335		A
OTU2863	Actinobacteria	0.012922062	0.000521182	0.025322942	340		A
OTU39	Actinobacteria	0.014000864	0.00144267	0.026559057	345		A
OTU1218	Actinobacteria	0.014047991	0.000984411	0.02711157	350		A
OTU100	Actinobacteria	0.016365204	-0.006970959	0.039701367	355		B
OTU882	Actinobacteria	0.016835673	-0.006609206	0.040280552	360		B
OTU181	Actinobacteria	0.018490952	0.005400356	0.031581548	365		A
OTU135	Actinobacteria	0.018914586	-0.002190542	0.040019715	370		B
OTU55	Actinobacteria	0.019689542	0.004656569	0.034722515	375		A
OTU829	Actinobacteria	0.020179987	0.007001172	0.033358803	380		A
OTU986	Actinobacteria	0.020498155	-0.001158995	0.042155306	385		B
OTU1235	Actinobacteria	0.023105733	0.003379219	0.042832247	390		A
OTU682	Actinobacteria	0.0234327	0.015658828	0.031206572	395		A
OTU148	Actinobacteria	0.024100752	0.005127056	0.043074448	400		A
OTU262	Actinobacteria	0.025812544	0.012256815	0.039368274	405		A
OTU268	Actinobacteria	0.027672161	0.00033286	0.055011462	410		A
OTU517	Actinobacteria	0.028425133	0.005008103	0.051842163	415		A
OTU1436	Actinobacteria	0.029772253	-0.00671123	0.066255735	420		B
OTU247	Actinobacteria	0.029991693	0.01435959	0.045623796	425		A
OTU4258	Actinobacteria	0.030306957	0.00998679	0.050627125	430		A
OTU1624	Actinobacteria	0.031443613	0.012114959	0.050772267	435		A
OTU462	Actinobacteria	0.031900485	0.012008398	0.051792571	440		A
OTU578	Actinobacteria	0.033167386	0.017362829	0.048971942	445		A
OTU672	Actinobacteria	0.037681688	0.01405846	0.061304917	450		A
OTU2293	Actinobacteria	0.041808741	0.032813815	0.050803667	455		A
OTU275	Actinobacteria	0.042453789	0.025634669	0.05927291	460		A
OTU125	Actinobacteria	0.044598077	0.031631672	0.057564482	465		A
OTU97	Actinobacteria	0.045294421	0.01810941	0.072479432	470		A
OTU71	Actinobacteria	0.045804559	0.032169288	0.05943983	475		A
OTU230	Actinobacteria	0.047715535	0.024185802	0.071245268	480		A
OTU908	Actinobacteria	0.049051215	0.033294847	0.064807584	485		A
OTU78	Actinobacteria	0.053883802	0.039962308	0.067805297	490		A
OTU76	Actinobacteria	0.055739987	0.047359531	0.064120443	495		A
OTU835	Actinobacteria	0.05577708	0.051216411	0.060337749	500		A
