taxonID	Phylum	APE	CL	CU	N	Phylum1	group
OTU613	Acidobacteria	0.000214804	-0.011905315	0.012334922	5	Acidobacteria	B
OTU461	Acidobacteria	0.004408111	-0.018386871	0.027203092	10		B
OTU119	Acidobacteria	0.008641254	-0.008813986	0.026096495	15		B
OTU530	Acidobacteria	0.009014346	-0.004477696	0.022506388	20		B
OTU475	Acidobacteria	0.010282672	9.46E-05	0.020470723	25		A
OTU711	Acidobacteria	0.011297572	-0.005731579	0.028326722	30		B
OTU99	Acidobacteria	0.012108012	-0.003531676	0.0277477	35		B
OTU1508	Acidobacteria	0.012260911	-0.009754465	0.034276286	40		B
OTU2534	Acidobacteria	0.015194348	-0.004687989	0.035076685	45		B
OTU420	Acidobacteria	0.015200426	-0.002095442	0.032496295	50		B
OTU400	Acidobacteria	0.015809896	0.004356003	0.02726379	55		A
OTU2654	Acidobacteria	0.017104984	0.001738168	0.032471799	60		A
OTU792	Acidobacteria	0.018663429	-0.000888294	0.038215153	65		B
OTU4878	Acidobacteria	0.019750264	-0.006317326	0.045817855	70		B
OTU335	Acidobacteria	0.020260963	0.005253462	0.035268464	75		A
OTU52	Acidobacteria	0.020913056	0.006425126	0.035400987	80		A
OTU284	Acidobacteria	0.021692389	0.001635451	0.041749327	85		A
OTU601	Acidobacteria	0.02174282	0.007710869	0.035774771	90		A
OTU382	Acidobacteria	0.023417109	0.01174649	0.035087729	95		A
OTU183	Acidobacteria	0.025045282	0.005892078	0.044198487	100		A
OTU206	Acidobacteria	0.028293182	0.019349005	0.037237359	105		A
OTU532	Acidobacteria	0.028928098	0.008537246	0.04931895	110		A
OTU514	Acidobacteria	0.029489458	0.015235339	0.043743578	115		A
OTU3137	Acidobacteria	0.030009799	0.018700711	0.041318888	120		A
OTU136	Acidobacteria	0.031751794	0.019490455	0.044013133	125		A
OTU930	Acidobacteria	0.031807345	0.012718549	0.050896141	130		A
OTU889	Acidobacteria	0.032082793	0.005646661	0.058518924	135		A
OTU291	Acidobacteria	0.032152158	0.001309885	0.062994431	140		A
OTU329	Acidobacteria	0.032320909	0.013891359	0.050750458	145		A
OTU110	Acidobacteria	0.032624792	0.011656286	0.053593298	150		A
OTU2974	Acidobacteria	0.032892512	0.012733421	0.053051603	155		A
OTU186	Acidobacteria	0.033126905	0.029963699	0.03629011	160		A
OTU3809	Acidobacteria	0.033397946	0.013165997	0.053629896	165		A
OTU392	Acidobacteria	0.034125354	0.022041984	0.046208724	170		A
OTU563	Acidobacteria	0.034405066	0.015874012	0.05293612	175		A
OTU4219	Acidobacteria	0.035360137	0.022116078	0.048604195	180		A
OTU652	Acidobacteria	0.035426642	0.016267511	0.054585773	185		A
OTU124	Acidobacteria	0.035884615	0.013869696	0.057899534	190		A
OTU140	Acidobacteria	0.037608366	0.019153984	0.056062748	195		A
OTU155	Acidobacteria	0.040277169	0.019178946	0.061375392	200		A
OTU358	Acidobacteria	0.041462958	0.023542359	0.059383558	205		A
OTU295	Acidobacteria	0.041570319	0.02341835	0.059722287	210		A
OTU89	Acidobacteria	0.042495569	0.022337078	0.06265406	215		A
OTU3890	Acidobacteria	0.043178291	0.022889399	0.063467183	220		A
OTU643	Acidobacteria	0.046359063	0.034131854	0.058586273	225		A
OTU106	Acidobacteria	0.047311085	0.028407317	0.066214853	230		A
