taxonID	Phylum	APE	CL	CU	N	Phylum1	group
OTU1361	Acidobacteria	0.014314709	-0.010945796	0.039575213	5	Acidobacteria	B
OTU186	Acidobacteria	0.015848626	-0.011392574	0.043089826	10		B
OTU1508	Acidobacteria	0.01594686	0.006171175	0.025722545	15		A
OTU335	Acidobacteria	0.01841571	-0.002841741	0.03967316	20		B
OTU382	Acidobacteria	0.019092362	-0.007611049	0.045795774	25		B
OTU917	Acidobacteria	0.019094205	-0.005938251	0.044126661	30		B
OTU475	Acidobacteria	0.019680771	-0.004533345	0.043894886	35		B
OTU4635	Acidobacteria	0.02123471	0.009063487	0.033405934	40		A
OTU729	Acidobacteria	0.024169835	0.0114768	0.03686287	45		A
OTU792	Acidobacteria	0.028020523	0.02110989	0.034931156	50		A
OTU530	Acidobacteria	0.030885644	0.018289119	0.043482168	55		A
OTU1018	Acidobacteria	0.037086392	0.020795136	0.053377647	60		A
OTU532	Acidobacteria	0.039487997	0.022395497	0.056580496	65		A
OTU54	Acidobacteria	0.040371003	0.037720444	0.043021562	70		A
OTU124	Acidobacteria	0.044174056	0.037177458	0.051170655	75		A
OTU140	Acidobacteria	0.044344918	0.019253783	0.069436053	80		A
OTU206	Acidobacteria	0.044597747	0.027341445	0.06185405	85		A
OTU652	Acidobacteria	0.045347129	0.035031607	0.055662651	90		A
OTU400	Acidobacteria	0.045385688	0.032179381	0.058591996	95		A
OTU2839	Acidobacteria	0.046127367	0.032894009	0.059360725	100		A
OTU119	Acidobacteria	0.048019551	0.041434383	0.054604719	105		A
OTU3890	Acidobacteria	0.048070781	0.036731057	0.059410506	110		A
OTU2534	Acidobacteria	0.049190134	0.039503725	0.058876544	115		A
OTU613	Acidobacteria	0.050891266	0.036202785	0.065579747	120		A
OTU110	Acidobacteria	0.051901297	0.040686737	0.063115858	125		A
OTU2654	Acidobacteria	0.054478812	0.043238099	0.065719525	130		A
OTU295	Acidobacteria	0.054781246	0.033069926	0.076492566	135		A
OTU52	Acidobacteria	0.056949914	0.050583184	0.063316643	140		A
OTU563	Acidobacteria	0.058358932	0.0414167	0.075301164	145		A
OTU284	Acidobacteria	0.061142153	0.049020998	0.073263308	150		A
OTU4878	Acidobacteria	0.062420272	0.057002133	0.06783841	155		A
OTU638	Acidobacteria	0.064877723	0.047888055	0.081867391	160		A
OTU1720	Acidobacteria	0.066334202	0.054365385	0.07830302	165		A
OTU155	Acidobacteria	0.06900468	0.058386899	0.079622461	170		A
OTU420	Acidobacteria	0.070687478	0.061654552	0.079720404	175		A
OTU711	Acidobacteria	0.07267703	0.060352084	0.085001976	180		A
OTU871	Acidobacteria	0.073083419	0.05885484	0.087311998	185		A
OTU130	Acidobacteria	0.073218623	0.060443003	0.085994243	190		A
OTU89	Acidobacteria	0.07489343	0.059711092	0.090075768	195		A
OTU367	Acidobacteria	0.07592851	0.063062013	0.088795006	200		A
OTU106	Acidobacteria	0.078511386	0.068493448	0.088529325	205		A
OTU605	Acidobacteria	0.082142971	0.078411441	0.085874501	210		A
OTU392	Acidobacteria	0.082601142	0.07092038	0.094281903	215		A
OTU3348	Acidobacteria	0.085980799	0.078720683	0.093240914	220		A
OTU368	Acidobacteria	0.086241682	0.074662578	0.097820785	225		A
OTU461	Acidobacteria	0.087014472	0.077806879	0.096222065	230		A
OTU3809	Acidobacteria	0.087625843	0.072939511	0.102312174	235		A
OTU107	Acidobacteria	0.088029742	0.080685297	0.095374187	240		A
OTU514	Acidobacteria	0.089244969	0.074833825	0.103656113	245		A
OTU361	Acidobacteria	0.089476626	0.079007326	0.099945925	250		A
OTU288	Acidobacteria	0.090262091	0.080434555	0.100089627	255		A
OTU2619	Acidobacteria	0.092888674	0.077327456	0.108449891	260		A
OTU96	Acidobacteria	0.094584104	0.079701889	0.109466319	265		A
OTU3137	Acidobacteria	0.095043091	0.08553612	0.104550062	270		A
OTU930	Acidobacteria	0.095183504	0.0853835	0.104983507	275		A
OTU928	Acidobacteria	0.098117881	0.081201932	0.11503383	280		A
OTU1082	Acidobacteria	0.09845643	0.053901675	0.143011184	285		A
OTU56	Acidobacteria	0.098502861	0.086205167	0.110800555	290		A
OTU183	Acidobacteria	0.098765689	0.090331251	0.107200127	295		A
OTU296	Acidobacteria	0.103997388	0.096268611	0.111726165	300		A
OTU2368	Acidobacteria	0.105987793	0.093662193	0.118313392	305		A
OTU643	Acidobacteria	0.106993351	0.098777784	0.115208917	310		A
OTU3479	Acidobacteria	0.109792701	0.09948746	0.120097942	315		A
OTU3094	Acidobacteria	0.118742483	0.103023389	0.134461577	320		A
OTU883	Acidobacteria	0.122030752	0.117221859	0.126839645	325		A
OTU1285	Acidobacteria	0.126343337	0.121091015	0.13159566	330		A
OTU204	Acidobacteria	0.130031409	0.115446654	0.144616164	335		A
OTU369	Acidobacteria	0.133492758	0.122955017	0.1440305	340		A
OTU344	Acidobacteria	0.135080537	0.131304121	0.138856952	345		A
OTU187	Acidobacteria	0.138162837	0.12951184	0.146813835	350		A
OTU327	Acidobacteria	0.145050271	0.120798077	0.169302466	355		A
OTU345	Acidobacteria	0.155581738	0.139108036	0.17205544	360		A
OTU1089	Acidobacteria	0.157012944	0.142548796	0.171477093	365		A
OTU58	Acidobacteria	0.178636183	0.16546709	0.191805277	370		A
OTU1691	Acidobacteria	0.181861987	0.170511078	0.193212895	375		A
OTU254	Actinobacteria	-0.078264261	-0.15	0.01014222	415	Actinobacteria	B
OTU665	Actinobacteria	0.012983268	0.005720337	0.0202462	420		A
OTU1036	Actinobacteria	0.014840218	0.008851209	0.020829226	425		A
OTU502	Actinobacteria	0.016804548	0.001071734	0.032537362	430		A
