#OTU ID	0_1	0_2	0_3	1_4	1_5	1_6	1_7	1_8	1_9	1_10	1_11	1_12	1_13	1_14	1_15	1_16	2_6	2_7	2_8	2_9	2_10	2_11	2_12	2_13	2_14	2_15	2_16	2_17	2_18	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	9_5	9_6	9_7	9_8	9_9	9_10	9_11	9_12	9_13	9_14	9_15	9_16	9_17	10_4	10_5	10_6	10_7	10_8	10_9	10_10	10_11	10_12	10_13	10_14	10_15	10_16	11_4	11_5	11_6	11_7	11_8	11_9	11_10	11_11	11_12	11_13	11_14	11_15	11_16	0_4	0_5	0_6	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	5_5	5_6	5_7	5_8	5_9	5_10	5_11	5_12	5_13	5_14	5_15	5_16	5_17	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	6_16	21_5	21_6	21_7	21_8	21_9	21_10	21_11	21_12	21_13	21_14	21_15	21_16	21_17	13_5	13_6	13_7	13_8	13_9	13_10	13_11	13_12	13_13	13_14	13_15	13_16	13_17	22_5	22_6	22_7	22_8	22_9	22_10	22_11	22_12	22_13	22_14	22_15	22_16	22_17	0_7	0_8	0_9	7_4	7_5	7_6	7_7	7_8	7_9	7_10	7_11	7_12	7_13	7_14	7_15	7_16	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	17_5	17_6	17_7	17_8	17_9	17_10	17_11	17_12	17_13	17_14	17_15	17_16	17_17	15_6	15_7	15_8	15_9	15_10	15_11	15_12	15_13	15_14	15_15	15_16	15_17	15_18	16_6	16_7	16_8	16_9	16_10	16_11	16_12	16_13	16_14	16_15	16_16	16_17	16_18	23_5	23_6	23_7	23_8	23_9	23_10	23_11	23_12	23_13	23_14	23_15	23_16	23_17	0_10	0_11	0_12	18_5	18_6	18_7	18_8	18_9	18_10	18_11	18_12	18_13	18_14	18_15	18_16	18_17	19_5	19_6	19_7	19_8	19_9	19_10	19_11	19_12	19_13	19_14	19_15	19_16	19_17	20_5	20_6	20_7	20_8	20_9	20_10	20_11	20_12	20_13	20_14	20_15	20_16	20_17	24_6	24_7	24_8	24_9	24_10	24_11	24_12	24_13	24_14	24_15	24_16	24_17	24_18	25_5	25_6	25_7	25_8	25_9	25_10	25_11	25_12	25_13	25_14	25_15	25_16	25_17	26_5	26_6	26_7	26_8	26_9	26_10	26_11	26_12	26_13	26_14	26_15	26_16	26_17
OTU1	32	25	21	114	21	53	16	24	26	66	152	87	63	30	24	10	15	24	6	49	28	30	57	40	48	0	13	21	4	15	4	5	10	2	36	81	53	33	25	26	10	18	8	39	24	28	34	31	10	51	38	22	10	1	6	69	34	10	24	15	46	32	29	13	17	6	9	2	9	16	104	27	14	15	41	38	71	22	38	0	6	44	25	30	7	10	24	7	18	18	57	34	28	24	13	26	5	1	0	10	4	9	16	38	58	72	58	53	15	14	616	116	0	4	3	7	45	48	57	31	27	8	11	42	62	25	7	23	11	32	33	35	28	29	15	32	5	25	41	11	27	3	16	35	54	28	19	13	4	46	51	31	27	20	19	36	38	43	50	36	22	32	783	845	757	241	165	49	674	1331	1778	2434	8466	10849	5943	3171	1224	654	32	118	108	228	799	2127	3339	6508	7438	7639	4649	1739	417	316	206	214	3173	4232	5065	8372	4338	6969	3360	831	345	198	15805	33910	22125	10883	7110	5971	2362	1741	1497	1075	530	130	58	28418	19324	9184	7612	6134	2590	1583	979	871	480	148	89	121	29257	27000	12672	6603	5790	3526	1837	1169	882	575	680	674	1447	1347	1309	1117	556	458	584	855	2209	4574	7612	15009	9866	4587	999	304	738	619	745	1044	1869	4488	4551	9132	14441	8604	2523	906	478	916	785	279	1015	4375	3774	3955	12956	15600	10171	6508	1169	714	843	31474	32427	14571	8968	6137	4912	2292	2792	2105	1056	373	853	2071	29453	38797	22562	9424	6789	4761	2330	1278	1884	732	425	389	870	41815	38966	22471	9889	8658	7368	3821	9222	6526	2623	1229	1066	1277
OTU2	927	1060	945	566	268	51	485	1332	1476	5209	7607	3775	1697	880	394	96	261	48	117	356	1063	3682	6304	4151	2240	1004	492	302	114	379	349	158	171	337	2808	8770	5273	3387	1477	855	153	38	81	813	4193	6995	5806	6094	884	1298	730	349	50	17	128	301	176	401	4257	4625	6729	5023	2719	282	391	129	21	13	72	126	1651	5980	6535	5392	5444	2343	1702	434	354	47	44	2574	2638	2720	325	769	320	332	2759	3953	12323	9456	3976	2132	692	184	229	266	175	809	684	717	1866	4963	10594	9670	4008	2220	632	150	260	641	847	917	143	778	4442	13543	14673	5023	2285	1397	444	858	3098	10118	10972	11810	6481	5237	2251	1655	981	1142	195	641	159	914	4662	11662	10304	4250	7091	6255	4855	1593	488	102	39	1575	3301	9108	7990	7137	6498	3856	1894	1211	460	202	205	178	14	11	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	13	18	3	0	0	9	15	29	32	23	10	10	0	0	5	0	2	19	11	42	30	34	18	7	5	0	0	6	0	3	9	37	12	28	63	35	0	16	20	8	0	6	7	26	20	22	27	14	7	6	0	0	0	8	0	17	79	61	38	38	23	7	7	8	0	0	0	0	7	30	10	23	47	16	31	0	0	0	0	0
OTU3	2831	3116	2389	987	391	43	86	112	177	299	327	309	779	2545	3907	2782	71	16	12	64	51	216	126	208	467	989	2470	5568	2510	487	70	68	23	55	246	241	122	380	1179	3534	887	620	21	81	67	228	461	608	91	206	359	1163	1018	458	743	202	39	22	107	241	618	403	308	72	445	1055	363	469	21	56	101	188	454	372	471	263	407	522	2313	746	516	5655	5617	6203	88	153	70	30	328	226	358	412	853	2860	3512	2359	1263	411	120	283	3146	78	142	278	278	472	1005	2610	3194	1976	1405	722	145	88	12	41	246	395	430	739	2394	5036	3471	601	631	542	1095	1646	1613	1286	1108	2554	6381	16106	1174	685	17	151	200	415	365	153	478	943	544	869	1103	1203	1284	383	692	646	856	1321	980	1214	1061	1851	3625	7610	2611	554	8784	10105	9862	109	128	125	265	67	141	128	149	283	839	3263	7662	8854	10	48	40	52	206	303	247	215	265	929	2315	4281	4779	322	278	93	576	599	331	345	165	1249	4019	7667	6359	813	16	33	20	66	76	91	235	523	1230	3247	7557	9324	6329	50	29	49	119	153	335	310	490	2352	6125	8464	6854	1172	490	352	310	215	187	330	545	764	2110	4650	7992	3120	951	11526	9568	8270	449	384	335	527	665	371	227	705	2534	8184	14453	6323	1587	241	338	227	358	723	232	267	611	2680	7054	14875	6965	1661	567	234	667	2084	1716	524	411	808	2569	7912	11989	7969	1543	522	398	360	438	282	816	1097	1862	3891	7093	6789	5619	1758	379	306	343	407	534	937	1327	1024	4467	8286	11031	5640	1394	451	428	269	258	299	927	1738	6116	10183	19853	28176	14662	2369
OTU5	69	69	149	174	9	2	13	18	14	11	26	18	30	67	115	121	5	1	2	21	2	10	17	10	16	32	82	144	117	24	9	6	9	23	6	0	7	0	40	67	8	12	2	0	0	0	0	0	0	0	11	50	24	22	80	46	0	0	0	10	28	0	0	0	22	10	13	14	1	0	12	0	0	0	8	0	8	26	78	7	19	448	382	417	17	40	31	9	20	16	27	22	40	168	234	137	230	0	26	45	7	23	19	13	35	56	82	214	384	205	237	166	27	3	0	7	9	10	23	35	86	182	201	83	9	78	10	0	16	13	33	143	263	823	114	125	0	0	0	7	7	3	11	25	44	71	149	216	205	14	19	9	6	9	15	24	51	121	398	906	538	183	5512	4988	5246	225	223	75	539	257	186	192	235	410	868	3313	10023	15702	21	86	71	91	380	430	397	298	295	836	2496	4213	5941	198	133	92	779	605	520	538	190	1318	4074	7606	12589	5518	16	33	36	53	35	80	161	334	863	2896	7986	9621	13529	17	40	45	72	80	170	223	409	1970	6133	9387	15162	8151	684	494	357	268	178	244	348	461	1321	3958	8874	7715	4130	5672	5151	4422	359	341	395	438	662	325	198	502	1527	5196	11281	8819	6968	481	512	514	546	964	300	272	636	2320	6425	16063	16589	10201	458	196	503	1994	1522	482	353	507	1658	4454	8785	10859	5477	523	368	280	177	118	218	292	663	1886	5931	6029	11021	7102	755	492	369	346	260	265	427	491	2808	8130	12823	15231	10466	853	747	425	276	277	572	710	3054	6971	18169	32607	31003	16358
OTU6	550	591	559	914	165	31	145	356	312	965	2886	3961	2933	1311	512	170	15	27	67	110	226	585	1485	2714	3232	1865	818	297	53	171	245	33	20	91	312	1027	1839	3414	1803	874	114	16	565	5406	6410	4013	3267	2283	229	227	227	195	47	8	42	1511	1682	1537	4078	2698	3895	2105	691	199	239	158	21	22	302	2621	8504	7321	5354	3544	1935	451	401	247	233	48	21	932	1007	966	125	297	26	77	295	490	1488	2418	2014	1366	375	122	62	168	137	233	196	138	218	441	1249	2748	2149	1249	377	57	95	172	152	55	26	88	536	1425	3534	2371	1554	724	254	2161	5862	5258	3535	3063	1507	971	661	666	492	649	107	462	105	1706	3475	3125	2494	688	1545	1326	1371	858	287	107	35	1903	5749	5800	3274	2793	1787	1002	742	775	373	201	187	173	785	646	873	41	77	34	154	208	247	190	840	1589	1028	436	180	106	9	14	16	21	122	261	216	597	1024	1014	510	156	47	241	68	94	599	674	485	799	602	1028	450	129	74	77	197	413	729	1084	927	1385	937	759	723	557	187	40	20	352	708	927	1034	1400	1084	703	587	523	300	78	29	54	455	526	774	733	999	934	632	541	357	122	121	112	281	352	334	298	91	117	167	126	153	148	344	853	631	263	96	33	62	159	172	128	283	295	127	336	661	443	95	88	77	351	391	156	246	559	895	316	621	1079	717	679	234	1351	581	499	718	807	723	658	575	304	340	286	117	42	68	172	276	779	1046	694	634	710	347	209	254	118	38	39	81	249	442	781	732	769	1072	645	1528	1119	463	202	256	155
OTU7	1459	1539	1382	28	49	9	45	121	144	305	456	1038	3110	2445	451	58	11	4	4	59	56	234	245	357	1326	2774	1701	317	74	39	68	20	26	61	192	217	257	1210	3197	1529	47	3	4	29	70	346	1778	1959	376	924	867	1074	199	13	81	81	11	7	75	441	1623	1217	1413	177	657	713	46	5	10	0	25	106	560	1071	1093	820	810	663	1161	75	5	6838	6830	6729	118	221	93	96	436	365	741	1469	5323	9989	2154	435	130	43	37	210	82	115	171	395	717	1769	6455	11035	1746	200	175	156	167	176	21	66	592	811	1721	5027	11830	5277	725	385	419	551	2395	7041	5893	7956	3665	6099	4501	1801	192	448	7	28	155	460	2028	1036	2538	7957	4802	4121	3637	682	64	184	277	520	1948	6414	4625	6206	3424	4343	3379	944	240	125	13	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	15	20	0	11	0	2	11	0	0	12	65	33	12	0	0	0	10	0	0	7	0	0	15	68	33	0	0	0	0	0	8	6	0	0	0	0	40	25	5	8	4	5	0	0	9	8	10	22	22	43	18	0	6	12	0	0	7	13	15	18	24	12	48	18	0	0	0	0	0	0	0	11	8	27	48	59	50	0	0	0
OTU8	226	299	223	427	125	63	348	703	892	2687	5167	3456	1451	718	335	109	240	25	56	261	564	1728	3831	3680	1858	821	358	160	90	157	219	101	125	203	1259	4211	3889	2906	1014	566	83	18	262	4938	9406	4051	2920	1991	254	408	263	89	54	16	54	855	1192	1937	5031	2193	2654	1532	641	77	99	45	19	7	156	1187	10230	8776	3405	2191	1433	525	543	135	124	35	22	755	838	762	125	376	189	119	955	1625	5538	5969	2567	1105	311	64	43	162	22	456	124	261	843	1694	4495	5866	2317	1054	284	131	55	497	426	415	91	330	1451	5455	8395	3262	1405	624	266	1881	12729	10558	4628	4364	1599	1332	684	620	354	559	119	285	182	5340	12747	8167	3751	1343	1940	1543	1578	466	241	26	11	3034	12391	11333	3753	2564	1784	938	623	413	156	77	50	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU9	968	1238	1031	535	420	68	424	1031	1369	3315	6661	7333	3399	1121	547	195	69	40	72	336	845	2184	3532	5515	4149	1544	484	238	104	279	274	101	134	219	1445	3863	5045	7059	2083	845	124	45	112	1372	8090	13483	7429	5992	1051	1251	1123	319	80	34	58	1166	348	756	8610	7258	6563	5508	2158	398	608	112	26	10	134	488	3058	10505	10892	4819	5361	1787	1974	626	304	24	20	1016	1166	1105	125	330	111	90	711	1020	2365	4621	3101	1008	165	75	58	64	10	309	77	116	523	982	2086	4559	2762	976	207	67	62	219	223	295	54	288	877	2525	5693	4030	1320	552	136	347	1573	5725	7351	4246	2900	1895	1245	707	297	423	96	210	50	438	2101	6631	5875	973	2531	2421	2124	1153	364	42	10	804	1716	5402	5693	3096	2552	1678	1242	782	149	103	42	58	21	25	21	0	0	0	0	4	24	0	37	52	34	0	10	8	0	3	2	1	2	21	16	28	60	20	17	7	0	14	3	3	8	17	25	39	19	35	0	0	0	4	0	0	34	94	45	39	67	50	40	24	0	0	0	13	35	56	21	25	33	33	24	7	0	5	0	0	6	0	20	12	8	14	10	8	9	0	0	0	0	43	40	40	3	7	9	10	20	44	97	223	88	26	7	4	7	0	7	13	31	46	14	61	136	29	0	7	7	0	0	1	5	67	38	42	111	183	87	37	19	15	0	14	71	169	98	51	112	51	53	22	0	0	16	24	17	86	301	153	65	132	62	48	22	6	13	5	16	16	29	168	128	67	90	43	96	46	14	0	0	0
OTU10	891	1065	841	522	193	28	222	632	669	2324	4831	3453	3312	2759	1258	506	51	6	40	72	282	1317	2760	2428	2495	2391	1729	814	227	166	167	21	34	99	815	3744	2807	3282	2716	2322	214	85	227	1036	1002	2674	3619	2412	514	978	956	1046	386	81	238	1113	685	353	1177	3177	3839	2199	1602	329	886	716	96	31	179	984	1911	1754	3664	3299	2124	1334	1721	1216	1887	224	52	1813	1799	2436	110	242	78	45	513	926	3172	3252	2780	3046	1105	368	140	89	49	296	108	182	416	1103	3290	3747	3029	2997	1152	234	117	138	196	411	33	119	792	3118	4209	2542	2617	1587	476	1056	2076	1617	2612	2842	1790	2050	1684	2186	1739	1572	115	300	244	1219	1003	882	3981	1184	1728	3015	3739	2174	1179	406	127	1092	1594	1251	1393	1769	1318	1580	1577	2021	1509	950	294	188	73	63	55	0	0	0	57	39	52	61	143	153	144	94	25	28	4	8	9	7	12	46	109	112	112	226	219	59	30	69	17	8	60	82	91	189	67	180	111	25	20	3	164	203	211	186	146	208	145	88	57	55	59	9	0	194	181	168	218	210	122	85	32	43	56	5	0	14	203	186	147	127	111	103	55	33	41	22	19	10	33	116	177	137	6	20	36	46	139	281	251	356	392	278	104	19	30	33	28	51	76	232	254	335	423	447	193	99	26	55	56	13	73	216	211	173	645	558	388	474	110	73	72	514	401	257	277	218	189	69	72	100	50	13	21	52	440	413	317	273	206	158	113	40	98	56	30	13	27	682	465	309	255	265	288	198	295	254	155	62	42	34
OTU11	52	55	42	76	8	3	0	0	10	0	0	0	23	34	75	34	0	0	0	17	0	0	0	0	9	19	44	59	61	0	3	1	4	0	6	0	8	14	30	34	8	5	2	0	0	0	0	0	0	6	19	13	16	9	10	0	0	0	0	0	0	0	0	0	0	20	7	8	1	0	0	0	0	0	0	0	14	14	43	22	10	156	164	195	0	19	4	1	0	4	9	15	18	51	98	38	44	42	0	11	0	7	2	9	11	13	45	118	107	123	187	86	0	19	1	1	0	25	14	19	24	85	54	0	0	0	0	0	0	12	24	56	132	206	30	26	1	0	0	0	0	0	0	0	24	39	38	78	68	0	0	0	0	6	0	19	25	67	111	302	152	56	2223	2088	2224	18	26	14	148	33	58	82	79	162	416	1480	3542	5642	4	41	27	17	61	206	172	122	136	434	1091	1539	1624	64	91	36	263	285	205	230	94	657	1756	2576	4272	2218	16	20	0	20	14	41	81	134	403	1393	3690	3150	4359	17	15	0	21	42	48	80	163	740	2390	3150	5050	2808	241	224	149	94	65	101	149	213	598	1665	3050	2672	1602	2413	2214	2010	138	100	144	179	261	107	59	218	805	2137	4118	3370	3193	132	183	143	202	350	112	108	280	1111	2571	5563	6466	4175	197	63	254	690	550	211	172	269	737	1992	3117	4038	2386	244	124	111	91	61	109	100	293	947	2604	2121	4318	3009	267	206	156	142	102	129	235	208	1378	3608	4692	6053	3918	313	259	183	113	105	196	330	1391	3562	8046	11440	11369	7052
