	density_g_ml	qpcr_abund	sample_id	isotope	day	fertilizer
1_4	1.736510192	197281.4681	CK1_light	16O	8	CK
1_5	1.734218686	164307.4495	CK1_light	16O	8	CK
1_6	1.731924679	594542.5573	CK1_light	16O	8	CK
1_7	1.729628172	749833.0826	CK1_light	16O	8	CK
1_8	1.727329164	1448695.157	CK1_light	16O	8	CK
1_9	1.723875964	2772145.447	CK1_light	16O	8	CK
1_10	1.720417139	20121713.52	CK1_light	16O	8	CK
1_11	1.716952687	60829756.21	CK1_light	16O	8	CK
1_12	1.712324667	85093126.2	CK1_light	16O	8	CK
1_13	1.710006906	48972149.18	CK1_light	16O	8	CK
1_14	1.706525577	11107446.26	CK1_light	16O	8	CK
1_15	1.704201565	4998113.767	CK1_light	16O	8	CK
1_16	1.700710859	2431530.21	CK1_light	16O	8	CK
2_6	1.738799198	196982.8549	CK2_light	16O	8	CK
2_7	1.733071995	424466.8669	CK2_light	16O	8	CK
2_8	1.730776738	416667.2473	CK2_light	16O	8	CK
2_9	1.72847898	618474.949	CK2_light	16O	8	CK
2_10	1.725027656	1777374.842	CK2_light	16O	8	CK
2_11	1.721570706	9426902.422	CK2_light	16O	8	CK
2_12	1.718108129	31387572.13	CK2_light	16O	8	CK
2_13	1.71579662	64347581.68	CK2_light	16O	8	CK
2_14	1.713482609	56311398.72	CK2_light	16O	8	CK
2_15	1.710006906	25981282.12	CK2_light	16O	8	CK
2_16	1.706525577	9478127.049	CK2_light	16O	8	CK
2_17	1.704201565	2154181.49	CK2_light	16O	8	CK
2_18	1.701875053	1685296.271	CK2_light	16O	8	CK
3_6	1.739942764	419462.9265	CK3_light	16O	8	CK
3_7	1.737655008	191352.83	CK3_light	16O	8	CK
3_8	1.733071995	559562.7238	CK3_light	16O	8	CK
3_9	1.729628172	257079.7297	CK3_light	16O	8	CK
3_10	1.726178723	719943.7223	CK3_light	16O	8	CK
3_11	1.723875964	6314022.356	CK3_light	16O	8	CK
3_12	1.720417139	26740687.57	CK3_light	16O	8	CK
3_13	1.71579662	77681648.48	CK3_light	16O	8	CK
3_14	1.712324667	67558629.79	CK3_light	16O	8	CK
3_15	1.710006906	40845958.03	CK3_light	16O	8	CK
3_16	1.706525577	10324964.32	CK3_light	16O	8	CK
3_17	1.703038621	2743200.364	CK3_light	16O	8	CK
3_18	1.700710859	935418.4489	CK3_light	16O	8	CK
9_5	1.737655008	1595749.654	CK1_lab	18O	8	CK
9_6	1.734218686	10052035.63	CK1_lab	18O	8	CK
9_7	1.731924679	14905638.11	CK1_lab	18O	8	CK
9_8	1.729628172	11300363.2	CK1_lab	18O	8	CK
9_9	1.726178723	28451048.64	CK1_lab	18O	8	CK
9_10	1.723875964	35364511.38	CK1_lab	18O	8	CK
9_11	1.720417139	38580801.68	CK1_lab	18O	8	CK
9_12	1.716952687	38490912.12	CK1_lab	18O	8	CK
9_13	1.713482609	41155551.04	CK1_lab	18O	8	CK
9_14	1.710006906	20349541.73	CK1_lab	18O	8	CK
9_15	1.707686645	3753682.57	CK1_lab	18O	8	CK
9_16	1.705363883	816723.0959	CK1_lab	18O	8	CK
9_17	1.703038621	506385.0224	CK1_lab	18O	8	CK
10_4	1.735364752	1109034.283	CK2_lab	18O	8	CK
10_5	1.733071995	4206801.751	CK2_lab	18O	8	CK
10_6	1.731924679	7473522.596	CK2_lab	18O	8	CK
10_7	1.729628172	15351613.24	CK2_lab	18O	8	CK
10_8	1.726178723	11617660.54	CK2_lab	18O	8	CK
10_9	1.723875964	21144680.46	CK2_lab	18O	8	CK
10_10	1.720417139	27985314.47	CK2_lab	18O	8	CK
10_11	1.716952687	68697468.26	CK2_lab	18O	8	CK
10_12	1.713482609	52537310.99	CK2_lab	18O	8	CK
10_13	1.711166099	25635262.89	CK2_lab	18O	8	CK
10_14	1.708847088	5084031.049	CK2_lab	18O	8	CK
10_15	1.705363883	1567693.893	CK2_lab	18O	8	CK
10_16	1.703038621	742944.501	CK2_lab	18O	8	CK
11_4	1.735364752	1176910.764	CK3_lab	18O	8	CK
11_5	1.734218686	3366769.272	CK3_lab	18O	8	CK
11_6	1.733071995	5874698.364	CK3_lab	18O	8	CK
11_7	1.72847898	12617019.3	CK3_lab	18O	8	CK
11_8	1.726178723	11827098.11	CK3_lab	18O	8	CK
11_9	1.722723648	11567551.33	CK3_lab	18O	8	CK
11_10	1.720417139	20115408.31	CK3_lab	18O	8	CK
11_11	1.716952687	34728300.62	CK3_lab	18O	8	CK
11_12	1.714639927	37690239.24	CK3_lab	18O	8	CK
11_13	1.711166099	20810791.93	CK3_lab	18O	8	CK
11_14	1.708847088	17398464.88	CK3_lab	18O	8	CK
11_15	1.705363883	1646990.169	CK3_lab	18O	8	CK
11_16	1.703038621	930909.3192	CK3_lab	18O	8	CK
0_1	NA	5207608841	CK1_0	NA	0	CK
0_2	NA	5469685476	CK2_0	NA	0	CK
0_3	NA	5214479438	CK3_0	NA	0	CK
