	density_g_ml	qpcr_abund	sample_id	isotope	day	fertilizer
4_5	1.738799198	462098.6911	NPK1_light	16O	8	NPK
4_6	1.735364752	609432.5537	NPK1_light	16O	8	NPK
4_7	1.733071995	931746.6975	NPK1_light	16O	8	NPK
4_8	1.729628172	1144356.781	NPK1_light	16O	8	NPK
4_9	1.726178723	2717820.326	NPK1_light	16O	8	NPK
4_10	1.722723648	11724117.34	NPK1_light	16O	8	NPK
4_11	1.720417139	43982798.33	NPK1_light	16O	8	NPK
4_12	1.716952687	91460817.64	NPK1_light	16O	8	NPK
4_13	1.713482609	83381627.22	NPK1_light	16O	8	NPK
4_14	1.710006906	27798337.9	NPK1_light	16O	8	NPK
4_15	1.707686645	7731495.844	NPK1_light	16O	8	NPK
4_16	1.704201565	3035578.883	NPK1_light	16O	8	NPK
4_17	1.701875053	2149972.001	NPK1_light	16O	8	NPK
5_5	1.741085704	802384.1847	NPK2_light	16O	8	NPK
5_6	1.738799198	683388.5468	NPK2_light	16O	8	NPK
5_7	1.736510192	1084858.954	NPK2_light	16O	8	NPK
5_8	1.733071995	1010002.867	NPK2_light	16O	8	NPK
5_9	1.729628172	2839867.05	NPK2_light	16O	8	NPK
5_10	1.727329164	4063288.422	NPK2_light	16O	8	NPK
5_11	1.722723648	15247515.24	NPK2_light	16O	8	NPK
5_12	1.719262947	67080039.63	NPK2_light	16O	8	NPK
5_13	1.71579662	82395565.5	NPK2_light	16O	8	NPK
5_14	1.712324667	84680937.28	NPK2_light	16O	8	NPK
5_15	1.708847088	35296396.39	NPK2_light	16O	8	NPK
5_16	1.706525577	10610914.23	NPK2_light	16O	8	NPK
5_17	1.703038621	4563663.641	NPK2_light	16O	8	NPK
6_4	1.737655008	1078969.406	NPK3_light	16O	8	NPK
6_5	1.736510192	1056618.352	NPK3_light	16O	8	NPK
6_6	1.734218686	1507331.323	NPK3_light	16O	8	NPK
6_7	1.729628172	995005.5728	NPK3_light	16O	8	NPK
6_8	1.727329164	1418792.628	NPK3_light	16O	8	NPK
6_9	1.723875964	2041025.645	NPK3_light	16O	8	NPK
6_10	1.721570706	9982634.243	NPK3_light	16O	8	NPK
6_11	1.718108129	46920156.96	NPK3_light	16O	8	NPK
6_12	1.714639927	96326829.4	NPK3_light	16O	8	NPK
6_13	1.712324667	123084558.5	NPK3_light	16O	8	NPK
6_14	1.708847088	74253792.99	NPK3_light	16O	8	NPK
6_15	1.706525577	28158554.33	NPK3_light	16O	8	NPK
6_16	1.703038621	7500656.304	NPK3_light	16O	8	NPK
13_5	1.74	1870837.745	NPK1_lab	18O	8	NPK
13_6	1.738799198	10172886.08	NPK1_lab	18O	8	NPK
13_7	1.735364752	16857245.03	NPK1_lab	18O	8	NPK
13_8	1.731924679	15980597.2	NPK1_lab	18O	8	NPK
13_9	1.72847898	11209261.73	NPK1_lab	18O	8	NPK
13_10	1.726178723	11121666.91	NPK1_lab	18O	8	NPK
13_11	1.721570706	30021236.58	NPK1_lab	18O	8	NPK
13_12	1.718108129	91315291.88	NPK1_lab	18O	8	NPK
13_13	1.714639927	64926469.92	NPK1_lab	18O	8	NPK
13_14	1.711166099	51296997.77	NPK1_lab	18O	8	NPK
13_15	1.708847088	18138919	NPK1_lab	18O	8	NPK
13_16	1.706525577	6199927.503	NPK1_lab	18O	8	NPK
13_17	1.703038621	3287649.056	NPK1_lab	18O	8	NPK
21_5	1.739942764	6792319.08	NPK2_lab	18O	8	NPK
21_6	1.736510192	15871500.93	NPK2_lab	18O	8	NPK
21_7	1.734218686	14674332.19	NPK2_lab	18O	8	NPK
21_8	1.729628172	17639950.29	NPK2_lab	18O	8	NPK
21_9	1.726178723	30288265.56	NPK2_lab	18O	8	NPK
21_10	1.722723648	34477569.72	NPK2_lab	18O	8	NPK
21_11	1.719262947	70077483.56	NPK2_lab	18O	8	NPK
21_12	1.71579662	45699174.73	NPK2_lab	18O	8	NPK
21_13	1.712324667	27452391.73	NPK2_lab	18O	8	NPK
21_14	1.710006906	18492432.16	NPK2_lab	18O	8	NPK
21_15	1.705363883	8752881.624	NPK2_lab	18O	8	NPK
21_16	1.704201565	2754740.245	NPK2_lab	18O	8	NPK
21_17	1.7	3917971.955	NPK2_lab	18O	8	NPK
22_5	1.738799198	5876596.164	NPK3_lab	18O	8	NPK
22_6	1.735364752	14876604.96	NPK3_lab	18O	8	NPK
22_7	1.733071995	33511408.84	NPK3_lab	18O	8	NPK
22_8	1.729628172	42701307.5	NPK3_lab	18O	8	NPK
22_9	1.726178723	54843059.71	NPK3_lab	18O	8	NPK
22_10	1.722723648	81522276.37	NPK3_lab	18O	8	NPK
22_11	1.719262947	97880075.74	NPK3_lab	18O	8	NPK
22_12	1.71579662	73263394.16	NPK3_lab	18O	8	NPK
22_13	1.712324667	55971867.17	NPK3_lab	18O	8	NPK
22_14	1.710006906	17418302.06	NPK3_lab	18O	8	NPK
22_15	1.707686645	9119770.211	NPK3_lab	18O	8	NPK
22_16	1.705363883	4201828.652	NPK3_lab	18O	8	NPK
22_17	1.701875053	2151569.99	NPK3_lab	18O	8	NPK
0_4	NA	5527747166	NPK1_0	NA	0	NPK
0_5	NA	5878435742	NPK2_0	NA	0	NPK
0_6	NA	5742739411	NPK3_0	NA	0	NPK
