	density_g_ml	qpcr_abund	sample_id	isotope	day	fertilizer
18_5	1.739942764	1687904.588	NPKM1_light	16O	8	NPKM
18_6	1.736510192	903637.2416	NPKM1_light	16O	8	NPKM
18_7	1.733071995	1940558.794	NPKM1_light	16O	8	NPKM
18_8	1.729628172	2322578.023	NPKM1_light	16O	8	NPKM
18_9	1.725027656	13974273.01	NPKM1_light	16O	8	NPKM
18_10	1.722723648	151662913.7	NPKM1_light	16O	8	NPKM
18_11	1.718262947	550285840.1	NPKM1_light	16O	8	NPKM
18_12	1.71579662	505010452.7	NPKM1_light	16O	8	NPKM
18_13	1.711166099	221555542.8	NPKM1_light	16O	8	NPKM
18_14	1.707686645	67477280.02	NPKM1_light	16O	8	NPKM
18_15	1.704201565	66813326.02	NPKM1_light	16O	8	NPKM
18_16	1.701875053	22962406.77	NPKM1_light	16O	8	NPKM
18_17	1.7	12011976.79	NPKM1_light	16O	8	NPKM
19_5	1.739942764	1041365.381	NPKM2_light	16O	8	NPKM
19_6	1.736510192	1362441.702	NPKM2_light	16O	8	NPKM
19_7	1.733071995	2581394.139	NPKM2_light	16O	8	NPKM
19_8	1.729628172	3686198.888	NPKM2_light	16O	8	NPKM
19_9	1.725027656	15647403.82	NPKM2_light	16O	8	NPKM
19_10	1.721570706	144555042.2	NPKM2_light	16O	8	NPKM
19_11	1.718108129	343425606.1	NPKM2_light	16O	8	NPKM
19_12	1.714639927	326442377.8	NPKM2_light	16O	8	NPKM
19_13	1.711166099	107984059.2	NPKM2_light	16O	8	NPKM
19_14	1.707686645	79857277.26	NPKM2_light	16O	8	NPKM
19_15	1.704201565	41325177.55	NPKM2_light	16O	8	NPKM
19_16	1.700710859	25286959.6	NPKM2_light	16O	8	NPKM
19_17	1.698380596	8094914.521	NPKM2_light	16O	8	NPKM
20_5	1.738799198	4840639.013	NPKM3_light	16O	8	NPKM
20_6	1.736510192	4595979.379	NPKM3_light	16O	8	NPKM
20_7	1.733071995	4229492.333	NPKM3_light	16O	8	NPKM
20_8	1.730776738	8818882.897	NPKM3_light	16O	8	NPKM
20_9	1.726178723	14000296.43	NPKM3_light	16O	8	NPKM
20_10	1.722723648	87804149.82	NPKM3_light	16O	8	NPKM
20_11	1.719417139	485726895.3	NPKM3_light	16O	8	NPKM
20_12	1.71579662	378472363.6	NPKM3_light	16O	8	NPKM
20_13	1.713482609	296804204.4	NPKM3_light	16O	8	NPKM
20_14	1.708847088	78543178.83	NPKM3_light	16O	8	NPKM
20_15	1.705363883	98445332.55	NPKM3_light	16O	8	NPKM
20_16	1.704201565	44980187.44	NPKM3_light	16O	8	NPKM
20_17	1.700710859	13457806.88	NPKM3_light	16O	8	NPKM
24_6	1.738799198	54785549.03	NPKM1_lab	18O	8	NPKM
24_7	1.737655008	109706056.3	NPKM1_lab	18O	8	NPKM
24_8	1.731924679	86230431.91	NPKM1_lab	18O	8	NPKM
24_9	1.72847898	109452812.1	NPKM1_lab	18O	8	NPKM
24_10	1.726178723	206396830.3	NPKM1_lab	18O	8	NPKM
24_11	1.722723648	264164957.1	NPKM1_lab	18O	8	NPKM
24_12	1.719262947	394437721.5	NPKM1_lab	18O	8	NPKM
24_13	1.716952687	278436267	NPKM1_lab	18O	8	NPKM
24_14	1.713482609	82328676.71	NPKM1_lab	18O	8	NPKM
24_15	1.710006906	86299497.02	NPKM1_lab	18O	8	NPKM
24_16	1.706525577	44343335.94	NPKM1_lab	18O	8	NPKM
24_17	1.704201565	49380532.2	NPKM1_lab	18O	8	NPKM
24_18	1.701875053	20740597.04	NPKM1_lab	18O	8	NPKM
25_5	1.738799198	19277828.53	NPKM2_lab	18O	8	NPKM
25_6	1.735364752	46784132.55	NPKM2_lab	18O	8	NPKM
25_7	1.733071995	62118039.2	NPKM2_lab	18O	8	NPKM
25_8	1.72847898	76794909.11	NPKM2_lab	18O	8	NPKM
25_9	1.725027656	177020318.4	NPKM2_lab	18O	8	NPKM
25_10	1.722723648	206683821.6	NPKM2_lab	18O	8	NPKM
25_11	1.719262947	259490216.9	NPKM2_lab	18O	8	NPKM
25_12	1.71579662	385836005.1	NPKM2_lab	18O	8	NPKM
25_13	1.713482609	272727234.6	NPKM2_lab	18O	8	NPKM
25_14	1.710006906	121904315.2	NPKM2_lab	18O	8	NPKM
25_15	1.706525577	58131377.44	NPKM2_lab	18O	8	NPKM
25_16	1.705363883	57655044.49	NPKM2_lab	18O	8	NPKM
25_17	1.701875053	11989174.14	NPKM2_lab	18O	8	NPKM
26_5	1.741085704	37571136.96	NPKM3_lab	18O	8	NPKM
26_6	1.737655008	113676950.5	NPKM3_lab	18O	8	NPKM
26_7	1.734218686	127658256.7	NPKM3_lab	18O	8	NPKM
26_8	1.730776738	138732358.8	NPKM3_lab	18O	8	NPKM
26_9	1.727329164	151165137.8	NPKM3_lab	18O	8	NPKM
26_10	1.723875964	309309642.8	NPKM3_lab	18O	8	NPKM
26_11	1.719262947	544140179.7	NPKM3_lab	18O	8	NPKM
