	density_g_ml	qpcr_abund	sample_id	isotope	day	fertilizer
7_4	1.737655008	6797823.39	OM1_light	16O	8	OM
7_5	1.735364752	479007.7657	OM1_light	16O	8	OM
7_6	1.729628172	863882.091	OM1_light	16O	8	OM
7_7	1.729628172	1220886.581	OM1_light	16O	8	OM
7_8	1.726178723	9542041.509	OM1_light	16O	8	OM
7_9	1.722723648	22273392.8	OM1_light	16O	8	OM
7_10	1.720417139	227404463.2	OM1_light	16O	8	OM
7_11	1.716952687	594371190.1	OM1_light	16O	8	OM
7_12	1.713482609	792383166.7	OM1_light	16O	8	OM
7_13	1.710006906	328777546.3	OM1_light	16O	8	OM
7_14	1.708847088	115331249	OM1_light	16O	8	OM
7_15	1.704201565	53117391.64	OM1_light	16O	8	OM
7_16	1.700710859	29364193.41	OM1_light	16O	8	OM
8_5	1.735364752	3039626.304	OM2_light	16O	8	OM
8_6	1.734218686	1634680.631	OM2_light	16O	8	OM
8_7	1.731924679	2240246.96	OM2_light	16O	8	OM
8_8	1.72847898	3375155.993	OM2_light	16O	8	OM
8_9	1.725027656	6820366.356	OM2_light	16O	8	OM
8_10	1.722723648	50397552.84	OM2_light	16O	8	OM
8_11	1.719262947	127999349.9	OM2_light	16O	8	OM
8_12	1.716952687	582522052.3	OM2_light	16O	8	OM
8_13	1.713482609	456776736.4	OM2_light	16O	8	OM
8_14	1.711166099	130387122.5	OM2_light	16O	8	OM
8_15	1.707686645	82462490.76	OM2_light	16O	8	OM
8_16	1.705363883	26462075.66	OM2_light	16O	8	OM
8_17	1.704201565	19875071.94	OM2_light	16O	8	OM
17_5	1.739942764	6340948.456	OM3_light	16O	8	OM
17_6	1.736510192	1140950.107	OM3_light	16O	8	OM
17_7	1.734218686	1845815.069	OM3_light	16O	8	OM
17_8	1.729628172	7287733.177	OM3_light	16O	8	OM
17_9	1.727329164	23036230.09	OM3_light	16O	8	OM
17_10	1.722723648	107259011.5	OM3_light	16O	8	OM
17_11	1.719262947	419497836.4	OM3_light	16O	8	OM
17_12	1.71579662	707053519.6	OM3_light	16O	8	OM
17_13	1.712324667	311319644.3	OM3_light	16O	8	OM
17_14	1.708847088	156405236.7	OM3_light	16O	8	OM
17_15	1.705363883	74230037.9	OM3_light	16O	8	OM
17_16	1.703038621	36316221.72	OM3_light	16O	8	OM
17_17	1.7	7611358.258	OM3_light	16O	8	OM
15_6	1.74	7618867.447	OM1_lab	18O	8	OM
15_7	1.738799198	19900711.34	OM1_lab	18O	8	OM
15_8	1.736510192	30733735.51	OM1_lab	18O	8	OM
15_9	1.731924679	67930708.7	OM1_lab	18O	8	OM
15_10	1.727329164	151462607.8	OM1_lab	18O	8	OM
15_11	1.723875964	135159802.5	OM1_lab	18O	8	OM
15_12	1.721570706	203513432.3	OM1_lab	18O	8	OM
15_13	1.718108129	285495574.4	OM1_lab	18O	8	OM
15_14	1.714639927	249596057.7	OM1_lab	18O	8	OM
15_15	1.711166099	71986057.54	OM1_lab	18O	8	OM
15_16	1.707686645	64543011.4	OM1_lab	18O	8	OM
15_17	1.705363883	19539140.09	OM1_lab	18O	8	OM
15_18	1.703038621	14346147.47	OM1_lab	18O	8	OM
16_5	1.74	7888418.93	OM2_lab	18O	8	OM
16_6	1.738799198	30763057.02	OM2_lab	18O	8	OM
16_7	1.735364752	38548892.43	OM2_lab	18O	8	OM
16_8	1.733071995	87926452.67	OM2_lab	18O	8	OM
16_9	1.72847898	176034275.8	OM2_lab	18O	8	OM
16_10	1.726178723	246632722.8	OM2_lab	18O	8	OM
16_11	1.721570706	203059592.1	OM2_lab	18O	8	OM
16_12	1.718108129	306024185.8	OM2_lab	18O	8	OM
16_13	1.714639927	246397732.9	OM2_lab	18O	8	OM
16_14	1.711166099	69404562.65	OM2_lab	18O	8	OM
16_15	1.707686645	54957753.21	OM2_lab	18O	8	OM
16_16	1.704201565	24118707.59	OM2_lab	18O	8	OM
16_17	1.701875053	20986750.99	OM2_lab	18O	8	OM
23_5	1.738799198	46648973.87	OM3_lab	18O	8	OM
23_6	1.735364752	101602943	OM3_lab	18O	8	OM
23_7	1.731924679	116822213.1	OM3_lab	18O	8	OM
23_8	1.72847898	242198140.2	OM3_lab	18O	8	OM
23_9	1.725027656	250426695.7	OM3_lab	18O	8	OM
23_10	1.721570706	248895640.1	OM3_lab	18O	8	OM
23_11	1.719262947	408118393.8	OM3_lab	18O	8	OM
23_12	1.71579662	352848427.8	OM3_lab	18O	8	OM
23_13	1.712324667	91701670.63	OM3_lab	18O	8	OM
23_14	1.710006906	105944898.1	OM3_lab	18O	8	OM
23_15	1.706525577	91759536.51	OM3_lab	18O	8	OM
23_16	1.703038621	25972601.92	OM3_lab	18O	8	OM
23_17	1.701875053	17138752.37	OM3_lab	18O	8	OM
0_7	NA	12773065142	OM1_0	NA	0	OM
0_8	NA	13241904797	OM2_0	NA	0	OM
0_9	NA	13204894457	OM3_0	NA	0	OM
