	density_g_ml	qpcr_abund	sample_id	isotope	day	fertilizer
1_4	1.736510192	4333210.069	CK1_light	16O	8	CK
1_5	1.734218686	3608948.683	CK1_light	16O	8	CK
1_6	1.731924679	13058894.08	CK1_light	16O	8	CK
1_7	1.729628172	16469789.56	CK1_light	16O	8	CK
1_8	1.727329164	31820020.92	CK1_light	16O	8	CK
1_9	1.723875964	60889087.44	CK1_light	16O	8	CK
1_10	1.720417139	441965545.2	CK1_light	16O	8	CK
1_11	1.716952687	1336101737	CK1_light	16O	8	CK
1_12	1.712324667	1869037142	CK1_light	16O	8	CK
1_13	1.710006906	1075654049	CK1_light	16O	8	CK
1_14	1.706525577	243970700.4	CK1_light	16O	8	CK
1_15	1.704201565	109781608.5	CK1_light	16O	8	CK
1_16	1.700710859	53407607.37	CK1_light	16O	8	CK
2_6	1.738799198	5089778.226	CK2_light	16O	8	CK
2_7	1.733071995	10967666.29	CK2_light	16O	8	CK
2_8	1.730776738	10766134.37	CK2_light	16O	8	CK
2_9	1.72847898	15980580.3	CK2_light	16O	8	CK
2_10	1.725027656	45925031.28	CK2_light	16O	8	CK
2_11	1.721570706	243578776.1	CK2_light	16O	8	CK
2_12	1.718108129	811013635.3	CK2_light	16O	8	CK
2_13	1.71579662	1662656988	CK2_light	16O	8	CK
2_14	1.713482609	1455012576	CK2_light	16O	8	CK
2_15	1.710006906	671322202.8	CK2_light	16O	8	CK
2_16	1.706525577	244902353.1	CK2_light	16O	8	CK
2_17	1.704201565	55661220.11	CK2_light	16O	8	CK
2_18	1.701875053	43545841.95	CK2_light	16O	8	CK
3_6	1.739942764	9400384.899	CK3_light	16O	8	CK
3_7	1.737655008	4288317.609	CK3_light	16O	8	CK
3_8	1.733071995	12540095.08	CK3_light	16O	8	CK
3_9	1.729628172	5761292.015	CK3_light	16O	8	CK
3_10	1.726178723	16134317.64	CK3_light	16O	8	CK
3_11	1.723875964	141500563.4	CK3_light	16O	8	CK
3_12	1.720417139	599272879	CK3_light	16O	8	CK
3_13	1.71579662	1740886618	CK3_light	16O	8	CK
3_14	1.712324667	1514024442	CK3_light	16O	8	CK
3_15	1.710006906	915379412.1	CK3_light	16O	8	CK
3_16	1.706525577	231387883.2	CK3_light	16O	8	CK
3_17	1.703038621	61476563.61	CK3_light	16O	8	CK
3_18	1.700710859	20963219.65	CK3_light	16O	8	CK
9_5	1.737655008	34197061.94	CK1_lab	18O	8	CK
9_6	1.734218686	215416048.7	CK1_lab	18O	8	CK
9_7	1.731924679	319429196.7	CK1_lab	18O	8	CK
9_8	1.729628172	242167823.5	CK1_lab	18O	8	CK
9_9	1.726178723	609708591	CK1_lab	18O	8	CK
9_10	1.723875964	757864733.6	CK1_lab	18O	8	CK
9_11	1.720417139	826790130.8	CK1_lab	18O	8	CK
9_12	1.716952687	824863789.4	CK1_lab	18O	8	CK
9_13	1.713482609	881967246.6	CK1_lab	18O	8	CK
9_14	1.710006906	436092552.2	CK1_lab	18O	8	CK
9_15	1.707686645	80441762.95	CK1_lab	18O	8	CK
9_16	1.705363883	17502451.11	CK1_lab	18O	8	CK
9_17	1.703038621	10851877.64	CK1_lab	18O	8	CK
10_4	1.735364752	23984603.82	CK2_lab	18O	8	CK
10_5	1.733071995	90978678.37	CK2_lab	18O	8	CK
10_6	1.731924679	161626634.4	CK2_lab	18O	8	CK
10_7	1.729628172	332002686.6	CK2_lab	18O	8	CK
10_8	1.726178723	251250109.7	CK2_lab	18O	8	CK
10_9	1.723875964	457286840.9	CK2_lab	18O	8	CK
10_10	1.720417139	605226268.1	CK2_lab	18O	8	CK
10_11	1.716952687	1485690375	CK2_lab	18O	8	CK
10_12	1.713482609	1136201657	CK2_lab	18O	8	CK
10_13	1.711166099	554402721	CK2_lab	18O	8	CK
10_14	1.708847088	109950136.2	CK2_lab	18O	8	CK
10_15	1.705363883	33903836.44	CK2_lab	18O	8	CK
10_16	1.703038621	16067338.75	CK2_lab	18O	8	CK
11_4	1.735364752	34143974.36	CK3_lab	18O	8	CK
11_5	1.734218686	97675106.04	CK3_lab	18O	8	CK
11_6	1.733071995	170433950	CK3_lab	18O	8	CK
11_7	1.72847898	366038952.7	CK3_lab	18O	8	CK
11_8	1.726178723	343122135.4	CK3_lab	18O	8	CK
11_9	1.722723648	335592287.8	CK3_lab	18O	8	CK
11_10	1.720417139	583578642	CK3_lab	18O	8	CK
11_11	1.716952687	1007520911	CK3_lab	18O	8	CK
11_12	1.714639927	1093451264	CK3_lab	18O	8	CK
11_13	1.711166099	603752780.4	CK3_lab	18O	8	CK
11_14	1.708847088	504755973.6	CK3_lab	18O	8	CK
11_15	1.705363883	47781694.09	CK3_lab	18O	8	CK
11_16	1.703038621	27007097.64	CK3_lab	18O	8	CK
0_1	NA	5207608841	CK1_0	NA	0	CK
0_2	NA	5469685476	CK2_0	NA	0	CK
0_3	NA	5214479438	CK3_0	NA	0	CK
4_5	1.738799198	9735504.985	NPK1_light	16O	8	NPK
4_6	1.735364752	12839537.92	NPK1_light	16O	8	NPK
4_7	1.733071995	19630059.11	NPK1_light	16O	8	NPK
4_8	1.729628172	24109332.84	NPK1_light	16O	8	NPK
4_9	1.726178723	57259096.04	NPK1_light	16O	8	NPK
4_10	1.722723648	247003951.9	NPK1_light	16O	8	NPK
4_11	1.720417139	926630524.4	NPK1_light	16O	8	NPK
4_12	1.716952687	1926898438	NPK1_light	16O	8	NPK
4_13	1.713482609	1756685884	NPK1_light	16O	8	NPK
4_14	1.710006906	585655970.1	NPK1_light	16O	8	NPK
4_15	1.707686645	162887317.8	NPK1_light	16O	8	NPK
4_16	1.704201565	63953640.04	NPK1_light	16O	8	NPK
4_17	1.701875053	45295655.53	NPK1_light	16O	8	NPK
5_5	1.741085704	14947796.58	NPK2_light	16O	8	NPK
5_6	1.738799198	12730999.91	NPK2_light	16O	8	NPK
5_7	1.736510192	20210082.99	NPK2_light	16O	8	NPK
5_8	1.733071995	18815572	NPK2_light	16O	8	NPK
5_9	1.729628172	52904526.03	NPK2_light	16O	8	NPK
5_10	1.727329164	75695919.68	NPK2_light	16O	8	NPK
5_11	1.722723648	284049412.4	NPK2_light	16O	8	NPK
5_12	1.719262947	1249649241	NPK2_light	16O	8	NPK
5_13	1.71579662	1534965639	NPK2_light	16O	8	NPK
5_14	1.712324667	1577540347	NPK2_light	16O	8	NPK
5_15	1.708847088	657544557.1	NPK2_light	16O	8	NPK
5_16	1.706525577	197673122.8	NPK2_light	16O	8	NPK
