#OTU ID	Kingdom	Phylum	Class	Order	Family	Genus
OTU1	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Unassigned
OTU2	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus
OTU5	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto
OTU6	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter
OTU7	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU8	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU9	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU10	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned
OTU11	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia
OTU12	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU13	Bacteria	Actinobacteria	Actinobacteria	Gaiellales	Unassigned	Unassigned
OTU14	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter
OTU15	Bacteria	Gemmatimonadetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU16	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Unassigned	Unassigned
OTU17	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter
OTU18	Bacteria	candidate_division_WPS-2	Unassigned	Unassigned	Unassigned	WPS-2_genera_incertae_sedis
OTU19	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Flavisolibacter
OTU20	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU21	Bacteria	Gemmatimonadetes	Unassigned	Unassigned	Unassigned	Unassigned
OTU22	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Unassigned
OTU23	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned
OTU24	Bacteria	candidate_division_WPS-2	Unassigned	Unassigned	Unassigned	WPS-2_genera_incertae_sedis
